hanche_droite,genou_droit,cheville_droite,hanche_gauche,genou_gauche,cheville_gauche,robot_epaule_avant_droite,robot_coude_avant_droit,robot_poignet_avant_droit,robot_epaule_avant_gauche,robot_coude_avant_gauche,robot_poignet_avant_gauche,temps
-0.04716269037544707,0.4441594511372785,0.14183843674388896,0.2896383895438238,-2.0249677665106196,-0.9429944610141587,-0.04716269037544707,0.4441594511372785,0.14183843674388896,0.2896383895438238,-2.0249677665106196,-0.9429944610141587,0.26
-0.06576542812996139,0.5303743936946427,0.18742834415398318,0.36275382624581676,-1.9911946984984294,-0.9364138315814015,-0.06576542812996139,0.5303743936946427,0.18742834415398318,0.36275382624581676,-1.9911946984984294,-0.9364138315814015,0.27
-0.12101393860989185,0.5489097498093737,0.1658354206315347,0.44959798609806123,-1.9984466504655787,-0.9532689564711765,-0.12101393860989185,0.5489097498093737,0.1658354206315347,0.44959798609806123,-1.9984466504655787,-0.9532689564711765,0.28
-0.17591233524232586,0.5741997109861496,0.13406027339611964,0.5444788749727617,-1.9920609857656522,-0.9645703581492644,-0.17591233524232586,0.5741997109861496,0.13406027339611964,0.5444788749727617,-1.9920609857656522,-0.9645703581492644,0.29
-0.2260427226634727,0.6124353171897822,0.1019480675738232,0.6325905501888524,-1.9736528630634211,-0.9690133997862953,-0.2260427226634727,0.6124353171897822,0.1019480675738232,0.6325905501888524,-1.9736528630634211,-0.9690133997862953,0.3
-0.27929935604512646,0.6371753354069107,0.0723561205746191,0.7219328608652626,-1.9587330352900802,-0.9691873590042939,-0.27929935604512646,0.6371753354069107,0.0723561205746191,0.7219328608652626,-1.9587330352900802,-0.9691873590042939,0.31
-0.3284781015930397,0.6616895822518295,0.04532605703236531,0.803371637477203,-1.9421043578803667,-0.9732353934933429,-0.3284781015930397,0.6616895822518295,0.04532605703236531,0.803371637477203,-1.9421043578803667,-0.9732353934933429,0.32
-0.3772704494357082,0.6892299223116302,0.014244687269129086,0.8826257099460291,-1.9208700935495235,-0.9726469388299923,-0.3772704494357082,0.6892299223116302,0.014244687269129086,0.8826257099460291,-1.9208700935495235,-0.9726469388299923,0.33
-0.4254520318903644,0.7131834655267831,-0.012499046047961065,0.9570573607942452,-1.8939584062038697,-0.96663165364801,-0.4254520318903644,0.7131834655267831,-0.012499046047961065,0.9570573607942452,-1.8939584062038697,-0.96663165364801,0.34
-0.47417713529591576,0.7306607114162228,-0.04559168623917548,1.0251112152994515,-1.8618117828274916,-0.95970644179287,-0.47417713529591576,0.7306607114162228,-0.04559168623917548,1.0251112152994515,-1.8618117828274916,-0.95970644179287,0.35
